siren,siret,link,mail,tel,denominationUsuelleEtablissement,numeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,complementAdresseEtablissement,codePostalEtablissement,libelleCommuneEtablissement,activitePrincipaleEtablissement
63106058,6.31E+12,,,,,,,LE BUISSON,,49110,MONTREVAULT-SUR-EVRE,01.21Z
68200682,6.82E+12,,,,,30,RUE,BEAUSOLEIL,,49110,MAUGES-SUR-LOIRE,46.34Z
69101038,6.91E+12,,,,,,,LA BRUNETIERE,,49290,CHALONNES-SUR-LOIRE,01.21Z
265001453,2.65E+13,,,02 33 60 38 92,,,,L ECOCHERE,DOMAINE,44150,ANCENIS-SAINT-GEREON,01.21Z
300015930,3.00E+13,,,,,,LD,LE PAYET,,44330,LA CHAPELLE-HEULIN,01.21Z
300030665,3.00E+13,,,02 41 78 33 04,,,,LA GRANDE RUE,SAINT AUBIN DE LUIGNE,49190,VAL-DU-LAYON,01.21Z
300370830,3.00E+13,,,,,,LD,LES MORTIERS,,44190,GORGES,01.21Z
300583051,3.01E+13,,,,,,,BOURG,,49190,VAL-DU-LAYON,01.21Z
301168753,3.01E+13,muscadetchon.com,,02 40 54 11 08,,,,LE BOIS MALINGE,,44450,SAINT-JULIEN-DE-CONCELLES,46.34Z
301403978,3.01E+13,,,,,,,LE PATIS,,49230,SEVREMOINE,01.21Z
302382056,3.02E+13,,,02 40 32 73 57,,31,RUE,DES SABLES,,44860,PONT-SAINT-MARTIN,46.34Z
302661699,3.03E+13,,,,,,,BELLERIVE,,49190,ROCHEFORT-SUR-LOIRE,01.21Z
303656375,3.04E+13,,info@chimarrao-yerbamate.com,04 91 11 11 11,,13,BOULEVARD,GABRIEL GUIST'HAU,,44000,NANTES,46.34Z
303712681,3.04E+13,,,,,,,LE PAY,,44190,SAINT-LUMINE-DE-CLISSON,01.21Z
304164981,3.04E+13,passavant.net,,02 41 59 53 96,,31,RUE,DU PRIEURE,,49560,PASSAVANT-SUR-LAYON,01.21Z
304601552,3.05E+13,,,,,,DOM,DU GRAND MOUTON,LE GRAND MOUTON,44690,SAINT-FIACRE-SUR-MAINE,01.21Z
304907561,3.05E+13,,contact@parents-abelard.fr,02 40 36 64 40,,,AVENUE,DE LA SEVRE,,85700,SAINT-MESMIN,46.34Z
304907561,3.05E+13,,contact@parents-abelard.fr,02 40 36 64 40,,,,ZI LES BLUSSIERES,,85190,AIZENAY,46.34Z
306147521,3.06E+13,,,,,,,L'OLLULIERE,,49190,VAL-DU-LAYON,01.21Z
306529629,3.07E+13,,,,,,LD,LES GUERCHES,,44690,MONNIERES,01.21Z
308062025,3.08E+13,,,,,,LD,LE VIGNEAU,,44330,LA CHAPELLE-HEULIN,01.21Z
308821453,3.09E+13,,,,,,,LA BELLE AUGEVINE,,49190,VAL-DU-LAYON,01.21Z
309258564,3.09E+13,,,02 96 45 51 19,,,,,CD 81 BEL ABORD,44880,SAUTRON,46.34Z
310122544,3.10E+13,,,,,,LD,LE GRAND MOULIN,,49120,CHEMILLE-EN-ANJOU,01.21Z
310576475,3.11E+13,,,,,,LD,CAVE AUX TUFFIERES,,72340,LHOMME,01.21Z
310829361,3.11E+13,,,,,,ROUTE,DES MORTRAIS,,44860,SAINT-AIGNAN-GRANDLIEU,01.21Z
311091292,3.11E+13,,,,,,LD,LE BOIS JOLI,,44330,LE PALLET,01.21Z
311658694,3.12E+13,,,,,,ROUTE,DE NANTES,,44330,MOUZILLON,01.21Z
311980734,3.12E+13,domaine-des-rochelles.com,webmaster@point-sys.com,02 41 91 92 07,,,,LES ROCHELLES,,49320,LES GARENNES SUR LOIRE,01.21Z
312126345,3.12E+13,,,,,,,LE LEARD,,72300,VION,01.21Z
312373822,3.12E+13,,,,VINS - 20 MILLESIMES,24,RUE,DE LA VERTONNE,,85340,L'ILE-D'OLONNE,46.34Z
312373822,3.12E+13,,,,VINS MILLESIMES,14,RUE,MICHEL BRETON,LA MOTHE ACHARD,85150,LES ACHARDS,46.34Z
312520638,3.13E+13,,,,,11,RUE,JEAN ACKERMAN,ST HILAIRE ST FLORENT,49400,SAUMUR,46.34Z
313752297,3.14E+13,,,,,1260,ROUTE,DE MOZE,VAUCHRETIEN,49320,BRISSAC LOIRE AUBANCE,01.21Z
314043654,3.14E+13,,,,,,,LES JAMONNIERES,,44310,SAINT-PHILBERT-DE-GRAND-LIEU,01.21Z
314152877,3.14E+13,,,,,,,LA FREMOIRE,CHATEAU DE LA FREMOIRE,44120,VERTOU,01.21Z
314370396,3.14E+13,,,,,16,RUE,NATIONALE,CONCOURSON SUR LAYON,49700,DOUE-EN-ANJOU,01.21Z
315432013,3.15E+13,,,,,6,ROUTE,DE LA BREILLE,,49650,BRAIN-SUR-ALLONNES,01.21Z
315963454,3.16E+13,,,,,48,,LA NOUILLERE,,44330,VALLET,46.34Z
316392612,3.16E+13,,,,,,,LES ROCHETTES,,49700,DOUE-EN-ANJOU,01.21Z
316514454,3.17E+13,domainecady.fr,,02 41 78 33 69,,20,,VALETTE,SAINT AUBIN DE LUIGNE,49190,VAL-DU-LAYON,01.21Z
316608512,3.17E+13,,,,,,,CHATEAU DE LA ROCHE BOUSSEAU,DOMAINE DE LA PETITE ROCHE TREMONT,49310,LYS-HAUT-LAYON,01.21Z
317217842,3.17E+13,,,,,10,LD,LES TERRANDIERES,VALANJOU,49120,CHEMILLE-EN-ANJOU,01.21Z
317326726,3.17E+13,boutique.freres-couillaud.com,info@freres-couillaud.com,02 40 33 60 56,,2,,LA GRANDE RAGOTIERE,,44330,LA REGRIPPIERE,01.21Z
317626885,3.18E+13,,,,,4,RTE,DES GALONNIERES,FAYE D'ANJOU,49380,BELLEVIGNE-EN-LAYON,01.21Z
317666675,3.18E+13,,,,,,LD,BOURG,,49260,BELLEVIGNE-LES-CHATEAUX,01.21Z
317806032,3.18E+13,,,,,,LD,LA BERGEE,,49310,LYS-HAUT-LAYON,01.21Z
317806032,3.18E+13,,,,,,,LES TOUCHES,CONCOURSON SUR LAYON,49700,DOUE-EN-ANJOU,01.21Z
317806099,3.18E+13,leclosduchaillou.com,,02 40 36 27 43,,,,LA GUERTINIERE,,44330,VALLET,01.21Z
317831113,3.18E+13,,,,,1,ROUTE,DE CLISSON,,44330,VALLET,01.21Z
318403672,3.18E+13,lamercrediere.com,michel.futeul@laposte.net,02 40 54 80 10,,,LD,CHATEAU DE LA MERCREDIERE,,44330,LE PALLET,01.21Z
318557923,3.19E+13,,,,,13,RUE,DU VIEUX PONT,,49280,LA SEGUINIERE,01.21Z
318845302,3.19E+13,terravitavinum.fr,bienvenue@terravitavinum.fr,02 41 78 72 13,TERRA VITA VINUM,,,CHAUVIGNE,,49610,MOZE-SUR-LOUET,01.21Z
318849411,3.19E+13,,,,,291,RUE,DU CHENE,CHEZ MERCERON PATRICE LA COINDRIE,44430,LE LOROUX-BOTTEREAU,01.21Z
318948163,3.19E+13,,,,,,,LE VIEUX PRE VAUCHRETIEN,,49250,BRISSAC LOIRE AUBANCE,01.21Z
318948163,3.19E+13,,,,,24,RTE,DE DOUE,,49700,DOUE-EN-ANJOU,01.21Z
319247474,3.19E+13,,,,,,,LES TILLEULS,,44330,LA REGRIPPIERE,01.21Z
319380432,3.19E+13,,,,,,,LE CHATEAU DU BREUIL,,49750,BEAULIEU-SUR-LAYON,01.21Z
319597993,3.20E+13,domainebergerie.fr,contact@domainebergerie.fr,02 41 78 85 43,,,LD,LA BERGERIE,CHAMP SUR LAYON,49380,BELLEVIGNE-EN-LAYON,01.21Z
319810818,3.20E+13,,,,,,IMPASSE,DES JARDINS,,49750,BEAULIEU-SUR-LAYON,01.21Z
319902607,3.20E+13,domainedeladucquerie.fr,,02 41 78 42 00,,2,CHE,DU GRAND CLOS,SAINT LAMBERT DU LATTAY,49190,VAL-DU-LAYON,01.21Z
320349855,3.20E+13,,,,,,LD,BEAUREGARD,,44330,MOUZILLON,01.21Z
320408180,3.20E+13,,,,,,LD,LES HAUTES LOGES,,44140,AIGREFEUILLE-SUR-MAINE,01.21Z
320889884,3.21E+13,,,,FRANCE CENTURY POLEN - HENRI LESCURE - GOLDENLAFEI,,,CREVE COEUR,,49150,BAUGE-EN-ANJOU,46.34Z
320942899,3.21E+13,,,02 28 01 07 07,,27,,LA GRENAUDIERE,,44690,MAISDON-SUR-SEVRE,01.21Z
321078685,3.21E+13,,,,,6,RUE,DES MOULINS,,49700,LES ULMES,01.21Z
321290264,3.21E+13,,,,,,LD,LES GRANDES BROSSES,,49380,BELLEVIGNE-EN-LAYON,01.21Z
321628620,3.22E+13,,,,,,,CHATEAU DE LA GRANGE,,44650,CORCOUE-SUR-LOGNE,01.21Z
321748295,3.22E+13,,,,,,,LA PILOTIERE,,44330,VALLET,01.21Z
321815664,3.22E+13,,,02 99 99 36 56,OUEST BOISSONS,40,BOULEVARD,DENIS PAPIN,ZONE INDUSTRIELLE DES TOUCHES,53000,LAVAL,46.34Z
322071374,3.22E+13,,,,,,RUE,DU 8 MAI 1945,,49380,TERRANJOU,01.21Z
322305228,3.22E+13,,,,,25,AV,DU GENERAL LECLERC,DOUE LA FONTAINE,49700,DOUE-EN-ANJOU,01.21Z
322454497,3.22E+13,,,,,,,LE GAST,,44690,MAISDON-SUR-SEVRE,01.21Z
322532433,3.23E+13,,,,,,,LA CAVE COURANT,,49260,BELLEVIGNE-LES-CHATEAUX,01.21Z
322622952,3.23E+13,martin-bernard.com,,02 40 54 81 49,,,LD,LA HAUTIERE,,44690,SAINT-FIACRE-SUR-MAINE,01.21Z
322969247,3.23E+13,immobilier-damoiseau.fr,,,,,,ZA DES BLUSSIERES,PARC D'ACTIV. BLUSSIERES NORD,85190,AIZENAY,46.34Z
322969247,3.23E+13,immobilier-damoiseau.fr,,,,,BOULEVARD,DE LA CHANTERIE,ZAC DU PARC COMMUNAUTAIRE,49124,SAINT-BARTHELEMY-D'ANJOU,46.34Z
322969247,3.23E+13,immobilier-damoiseau.fr,,,,,,ESPACE D'ACTIVITE DE L'ETOILE,,72650,TRANGE,46.34Z
322969247,3.23E+13,immobilier-damoiseau.fr,,,,3,RUE,DES GRANDES BOSSES,ZAC LES HAUTS DE COURON,44220,COUERON,46.34Z
323202614,3.23E+13,,,,,,,LâAUDIGERE,,44330,VALLET,46.34Z
323315887,3.23E+13,,,,,54,IMPASSE,DU PONTREAU,LE PONTREAU,44330,MOUZILLON,01.21Z
323375378,3.23E+13,vignesdelalma.com,,02 41 72 71 09,,,,L'ALMA,SAINT FLORENT LE VIEIL,49110,MAUGES-SUR-LOIRE,01.21Z
324043975,3.24E+13,,,,,,,LA LEVRAUDIERE,,44330,LA CHAPELLE-HEULIN,01.21Z
324142710,3.24E+13,vinovini.fr,,02 40 66 55 57,,87,RUE,JEAN JAURES,,44600,SAINT-NAZAIRE,46.34Z
324293976,3.24E+13,domaine-des-herbauges.com,hello@domaine-des-herbauges.com,02 40 65 44 92,,,,HERBAUGES,,44830,BOUAYE,01.21Z
324684331,3.25E+13,chateaudufresne.fr,,02 41 54 30 88,,25,RUE,DES MONTS,FAYE D'ANJOU,49380,BELLEVIGNE-EN-LAYON,01.21Z
324830165,3.25E+13,,,,,53,AVENUE,DE L'ANGEVINIERE,,44800,SAINT-HERBLAIN,01.21Z
324894534,3.25E+13,guichet.fr,,02 40 13 09 52,,,RUE,LAVOISIER,ZA DU HAUT COIN,44140,AIGREFEUILLE-SUR-MAINE,46.34Z
325032605,3.25E+13,domainedelagrezille.com,domainedelagrezille@orange.fr,02 41 59 34 63,,,,LA GREZILLE,AMBILLOU CHATEAU,49700,TUFFALUN,01.21Z
325073880,3.25E+13,,,,,5,RUE,DU MOULIN DU ROY,,49750,BEAULIEU-SUR-LAYON,01.21Z
325152114,3.25E+13,,,,,172,RUE,DE CHAMPIGNY,,49400,SAUMUR,01.21Z
325435774,3.25E+13,,,,,,,DOMAINE DE MIHOUDY,,49540,AUBIGNE-SUR-LAYON,01.21Z
325866911,3.26E+13,,,02 40 33 72 94,,,,LA TOUCHE,,44330,VALLET,01.21Z
326183696,3.26E+13,,,,,5,RUE,DES PICARDS,,49260,LE PUY-NOTRE-DAME,01.21Z
326265758,3.26E+13,vgc.fr,,02 40 54 85 24,,,,LE COING,,44690,SAINT-FIACRE-SUR-MAINE,01.21Z
326275898,3.26E+13,domaine-de-gagnebert.com,moron@domaine-de-gagnebert.com,02 41 91 92 86,,2,CHE,DE LA NAURIVET JUIGNE SUR LOIRE,DOMAINE DE GAGNEBERT,49320,LES GARENNES SUR LOIRE,01.21Z
326321825,3.26E+13,,,,,,,LA PYRONNIERE,,44190,GORGES,01.21Z
326330693,3.26E+13,,,,,,,LA JOUSSELINIERE,,44450,SAINT-JULIEN-DE-CONCELLES,01.21Z
326413481,3.26E+13,,,,,,,LA BIGOTIERE,,44690,MAISDON-SUR-SEVRE,01.21Z
326438611,3.26E+13,,,,,,,LES CAVES,,49260,VAUDELNAY,01.21Z
326493061,3.26E+13,domainedupuydavyeau.com,domainedupuydavyeau@gmail.com,02 41 03 67 20,,,,LA COUR DU PUY DAVYEAU,MARTIGNE-BRIAND,49380,TERRANJOU,01.21Z
326569803,3.27E+13,,,,,,,LA GRELIERE,,44120,VERTOU,01.21Z
326610565,3.27E+13,,,,,,IMP,DU PETIT MOULIN,,49700,DOUE-EN-ANJOU,01.21Z
326610789,3.27E+13,,,,,,,CHAVANNES,,49260,LE PUY-NOTRE-DAME,01.21Z
326610839,3.27E+13,,,,,,,LE BOURG,,49700,DOUE-EN-ANJOU,01.21Z
326624939,3.27E+13,chateaulavariere.fr,,09 70 75 46 28,,,RTE,DE MOZE,CHATEAU LA VARIERE - VAUCHRETIEN,49250,BRISSAC LOIRE AUBANCE,01.21Z
326625043,3.27E+13,,,,,,,ST MAUR,,49160,GENNES-VAL-DE-LOIRE,01.21Z
326679420,3.27E+13,,,,,,,LE BOURG,,49730,TURQUANT,01.21Z
326728144,3.27E+13,,,,,,,LA FURONNIERE,,44430,LE LANDREAU,01.21Z
326823242,3.27E+13,,,,,,,LA BOUTEILLERIE,,44120,VERTOU,01.21Z
326959814,3.27E+13,domainedelepinay.com,contact@planete-communication.fr,,,,,L EPINAY,,44190,CLISSON,01.21Z
326998150,3.27E+13,,,,,2,RUE,DU PRIEURE,NOIRTERRE,49540,AUBIGNE-SUR-LAYON,01.21Z
327423919,3.27E+13,,philippe@caveau-prevote.fr,02 41 52 33 79,,,,MERON,,49260,MONTREUIL BELLAY,01.21Z
327428546,3.27E+13,,,,,,LD,COTEAU BIZEAU,DAMPIERRE SUR LOIRE,49400,SAUMUR,01.21Z
327577094,3.28E+13,,,,,,LD,LE GRAND BURGAUTHIER,,85440,TALMONT-SAINT-HILAIRE,01.21Z
327603296,3.28E+13,domainedittiere.com,domaine.dittiere@sfr.fr,02 41 91 23 78,,,,LA GROUAS,VAUCHRETIEN,49250,BRISSAC LOIRE AUBANCE,01.21Z
327666665,3.28E+13,gaecjollyfreres.com,gaec.jolly@orange.fr,02 41 57 76 76,,,,LA BOURELIERE,,49610,MURS-ERIGNE,01.21Z
327696142,3.28E+13,muscadet-forgeau.com,,02 40 33 95 37,,,,LA ROUAUDIERE,,44330,MOUZILLON,01.21Z
327724027,3.28E+13,,,,,,,LES GALARDIERES,,49110,MAUGES-SUR-LOIRE,01.21Z
327741666,3.28E+13,,,,,,LD,LA TELACHERE,,85250,CHAVAGNES-EN-PAILLERS,01.21Z
327837613,3.28E+13,,,,,,,LA BILLARDIERE,,44120,VERTOU,01.21Z
327967881,3.28E+13,,,,,,,LE SAUVEROYE,,49190,VAL-DU-LAYON,01.21Z
328036983,3.28E+13,,,,,4,RUE,DES VIGNERONS,,49400,SOUZAY-CHAMPIGNY,01.21Z
328202809,3.28E+13,,,,,,,CLOS DE LAVEAU,JUIGNE SUR LOIRE,49320,LES GARENNES SUR LOIRE,01.21Z
328384219,3.28E+13,preprod.domaine-leblanc.fr,contact@domaine-leblanc.fr,02 41 54 30 78,,,,LES CLOSERONS,FAYE D'ANJOU,49380,BELLEVIGNE-EN-LAYON,01.21Z
328547765,3.29E+13,,,,,,,,,72340,MARCON,01.21Z
328590617,3.29E+13,domaine2vallees.com,,02 41 78 33 24,,3586,ROUTE,DES HAUTS DE CHAUME,ST AUBIN DE LUIGNE,49750,VAL-DU-LAYON,01.21Z
328618632,3.29E+13,,,,,,,MAILLON,,44430,LE LOROUX-BOTTEREAU,01.21Z
328965280,3.29E+13,,,,,,,LE PALNA,,49260,VAUDELNAY,01.21Z
328965306,3.29E+13,,,,,,RTE,D ARGENTAY,,49700,DOUE-EN-ANJOU,01.21Z
329055933,3.29E+13,domaine-lesmeribelles.com,,02 41 67 46 64,,14,RUE,DE LA BIENBOIRE,LE PETIT CLOS,49400,SOUZAY-CHAMPIGNY,01.21Z
329145023,3.29E+13,,,,,,,LA GROLLAIE,,49310,LYS-HAUT-LAYON,01.21Z
329269906,3.29E+13,,,,,,LD,LE HAUT-PLANTY,,44430,LE LANDREAU,01.21Z
329334999,3.29E+13,,,,DOMAINE DE VILLEFORT,,,VILLEFORT,,85240,FAYMOREAU,46.34Z
329361562,3.29E+13,tourlaudiere.com,,02 40 36 24 86,,,,LA TOURLAUDIERE,174 VILLAGE DE BONNE FONTAINE,44330,VALLET,01.21Z
329506943,3.30E+13,,,,,,,DOMAINE DE HAUT MONT,,49380,BELLEVIGNE-EN-LAYON,01.21Z
329543110,3.30E+13,,,05 49 65 90 23,TONTON BACCHUS,,,LE REVE,,49690,CORON,46.34Z
329694699,3.30E+13,,,,,,LD,LA BOURDINIERE,,44690,CHATEAU-THEBAUD,01.21Z
329910129,3.30E+13,,,,,,,L'HETRE ANDRE,,72150,COURDEMANCHE,01.21Z
329910194,3.30E+13,,,,,,,LA CHAUVINIERE,,44690,CHATEAU-THEBAUD,01.21Z
329943567,3.30E+13,,,,,40,,LA HAIE TROIS SOUS,,44690,MAISDON-SUR-SEVRE,01.21Z
329949820,3.30E+13,,,,,,CHE,DES CHESNAIES,,49190,VAL-DU-LAYON,01.21Z
329958235,3.30E+13,,,,,11,RUE,DES VALLEES,,85470,BREM-SUR-MER,01.21Z
329991475,3.30E+13,,,02 51 55 11 79,C&B CAVE,18,RUE,DES MENUISIERS,ZI DE LA BEGAUDIERE,85800,SAINT-GILLES-CROIX-DE-VIE,46.34Z
330094806,3.30E+13,domainedechantemerle.fr,,02 41 59 43 18,,4,RUE,DE CHANTEMERLE,TREMONT,49310,LYS-HAUT-LAYON,01.21Z
330439332,3.30E+13,,,,,,LD,PINOREAU,,49700,DOUE-EN-ANJOU,01.21Z
330479536,3.30E+13,,contact@poironhenri.com,02 40 54 60 58,,,LD,LES QUATRE ROUTES,,44690,MAISDON-SUR-SEVRE,01.21Z
330480690,3.30E+13,domainedevilleneuve.fr,gaeclefortetfils@orange.fr,02 41 59 40 26,,6,,VILLENEUVE LES BOUILLONS,NUEIL SUR LAYON,49310,LYS-HAUT-LAYON,01.21Z
330496472,3.30E+13,,,,,,,LA BOUGRIE,,49380,BELLEVIGNE-EN-LAYON,01.21Z
330502071,3.31E+13,,contact@p-r-v.fr,,,,,LA TOURLAUDIERE,,44330,VALLET,46.34Z
330574773,3.31E+13,bidgi-vins-muscadet.fr,,02 40 54 83 24,,11,RUE,DU CALVAIRE,,44690,LA HAIE-FOUASSIERE,01.21Z
330622192,3.31E+13,hautbourg.fr,,02 40 65 47 69,,11,RUE,DE NANTES,,44830,BOUAYE,01.21Z
330696121,3.31E+13,,,,,,,LE MOULIN TURQUAIS,,49380,TERRANJOU,01.21Z
331101931,3.31E+13,filliatreau.fr,,02 41 52 90 84,,,,CHAINTRE,DAMPIERRE SUR LOIRE,49400,SAUMUR,01.21Z
331101931,3.31E+13,filliatreau.fr,,02 41 52 90 84,,,,LA GRANDE VIGNOLLE,,49730,TURQUANT,46.34Z
331203927,3.31E+13,vignobles-laffourcade.fr,,02 41 85 52 62,,,,L ECHARDERIE,,49190,ROCHEFORT-SUR-LOIRE,01.21Z
331251025,3.31E+13,,,,,,,LE PETIT CHALON,,49230,SEVREMOINE,01.21Z
331321091,3.31E+13,,,,MD VINS,14,RUE,DE LA CHAIGNEE,,85770,VIX,46.34Z
331358135,3.31E+13,domainelesgrandesvignes.com,,02 41 54 05 06,,302,CHEMIN,DE LA BUTTE,LA ROCHE AUBRY - THOUARCE,49380,BELLEVIGNE-EN-LAYON,01.21Z
331593798,3.32E+13,,,02 41 77 75 13,,2,CHE,DES POUETS LA POMMERAYE,,49110,MAUGES-SUR-LOIRE,46.34Z
331611491,3.32E+13,,,,,,,LUCET,,49310,LYS-HAUT-LAYON,01.21Z
331704189,3.32E+13,domaine-sainteanne.com,,02 41 91 24 58,,,,SAINTE ANNE,,49250,BRISSAC LOIRE AUBANCE,01.21Z
331824516,3.32E+13,,,,,,,MESNIL,,49380,BELLEVIGNE-EN-LAYON,01.21Z
331859462,3.32E+13,chateaudeputille.fr,chateaudeputille@orange.fr,02 41 39 02 91,,,LD,PUTILLE,,49110,MAUGES-SUR-LOIRE,01.21Z
331960849,3.32E+13,,,,,,,LA GARONDIERE,,49110,MAUGES-SUR-LOIRE,01.21Z
331974758,3.32E+13,,,,,,,CLOS DE LA JUTIERE,,49120,CHEMILLE-EN-ANJOU,01.21Z
332193309,3.32E+13,,,,,1,RUE,LE VERGER,,44690,LA HAIE-FOUASSIERE,01.21Z
332360593,3.32E+13,,,02 40 33 82 99,,,,LA MORILLERE,,44430,LE LOROUX-BOTTEREAU,01.21Z
332651199,3.33E+13,domaines-vinet.com,,02 40 54 88 96,,,,LA QUILLA,,44690,HAIE-FOUASSIERE (LA),01.21Z
332651199,3.33E+13,domaines-vinet.com,,02 40 54 88 96,,1,DOMAINE,DE LA QUILLA,,44690,LA HAIE-FOUASSIERE,01.21Z
332651199,3.33E+13,domaines-vinet.com,,02 40 54 88 96,,3,DOMAINE,DE LA QUILLA,,44690,LA HAIE-FOUASSIERE,01.21Z
332657709,3.33E+13,muscadet-perraud.com,,02 40 03 95 76,,,RUE,DU CHATELET,LA VINCONNIERE,44190,CLISSON,01.21Z
332757038,3.33E+13,,,,,,,LE BUISSON,,49110,MAUGES-SUR-LOIRE,46.34Z
333178598,3.33E+13,,,,,,,LA PIERRE BLANCHE,,44330,VALLET,01.21Z
333284834,3.33E+13,,contact@morille-luneau.com,02 40 06 34 09,,,,L AUBERDIERE,,44450,DIVATTE-SUR-LOIRE,01.21Z
333400364,3.33E+13,,,,,19,RUE,DE LA POSTE,,44690,MONNIERES,01.21Z
333428282,3.33E+13,valton-vignoble.fr,valton.vignoble@outlook.com,,,,,LE QUARTERON,,44190,GORGES,01.21Z
333466670,3.33E+13,chateau-de-villeneuve.com,jp-chevallier@chateau-de-villeneuve.com,02 41 51 14 04,,3,RUE,JEAN BREVET,CHATEAU DE VILLENEUVE,49400,SOUZAY-CHAMPIGNY,01.21Z
333532166,3.34E+13,,,,,,,LE FRESCHE,LA POMMERAYE,49110,MAUGES-SUR-LOIRE,01.21Z
333598712,3.34E+13,,,,,,RUE,DES GABELOUS,,85470,BREM-SUR-MER,01.21Z
333620839,3.34E+13,leshautesvignes.fr,alainfourrier@domainedeshautesvignes.fr,02 41 50 21 96,,,RUE,DE LA CHAPELLE,,49400,DISTRE,01.21Z
333772499,3.34E+13,,,02 41 50 44 16,,7,,LE MOULIN DE LA DEVAUDERIE,TREMONT,49310,LYS-HAUT-LAYON,01.21Z
333909182,3.34E+13,,,,,,,LA BIGOTIERE,,44690,MAISDON-SUR-SEVRE,01.21Z
334058500,3.34E+13,,,,,,,LA GIRAUDIERE,,44190,GORGES,01.21Z
334219201,3.34E+13,,,,,,,LE HAUT FRENE,,49270,OREE-D'ANJOU,01.21Z
334293610,3.34E+13,,,,,,,BEAUREGARD,,49110,MONTREVAULT-SUR-EVRE,01.21Z
334454907,3.34E+13,,,,,,,CHANTEPIE,,44330,LE PALLET,01.21Z
334482031,3.34E+13,,,,,,,L ABBAYE MARE,,49260,VAUDELNAY,01.21Z
334527835,3.35E+13,,,,,,,LA LOUEE,,44120,VERTOU,01.21Z
334826864,3.35E+13,,,,,,,LA RINIERE,,44430,LE LANDREAU,01.21Z
334922994,3.35E+13,,,,,72,RUE,DE LA TANCRERE,,49270,OREE-D'ANJOU,01.21Z
335124715,3.35E+13,,,,,,,LA SIMPLERIE,,44190,GORGES,01.21Z
335239406,3.35E+13,,,,,,,LE HAUT BANCHEREAU,,44190,GORGES,01.21Z
335274312,3.35E+13,domaine-hureau.fr,,02 41 67 60 40,,,,LE GRAND HUREAU,,49400,SAUMUR,01.21Z
335288197,3.35E+13,,,,,,,BEAU SOLEIL,,49110,MAUGES-SUR-LOIRE,01.21Z
337542583,3.38E+13,,,,,,,LA ROBARDIERE,,49110,MONTREVAULT-SUR-EVRE,01.21Z
337891824,3.38E+13,,,,,,,AUX ROCHETTES,,49610,MOZE-SUR-LOUET,01.21Z
338026263,3.38E+13,,,,,1,RUE,DU PONT BARRE,,49190,VAL-DU-LAYON,01.21Z
338054737,3.38E+13,armanddavid.com,contact@armand-david.com,02 41 52 20 84,,,,MESSEME,,49260,VAUDELNAY,01.21Z
338085202,3.38E+13,,,02 41 54 33 64,,,LD,LE MOULIN MILON,,49380,TERRANJOU,46.34Z
338412836,3.38E+13,,,,,,,LES CHASNIERES,,49380,BELLEVIGNE-EN-LAYON,01.21Z
338425754,3.38E+13,,,,,,,RACAPE,,44430,LE LANDREAU,01.21Z
338511959,3.39E+13,montgilet.com,montgilet@wanadoo.fr,02 41 91 90 48,,10,CHE,DE MONTGILET,JUIGNE-SUR-LOIRE,49320,LES GARENNES SUR LOIRE,01.21Z
338963184,3.39E+13,,,,,,,LA MOTTE,,49380,TERRANJOU,01.21Z
339105322,3.39E+13,daheuiller.com,,02 41 52 90 94,,28,RUE,DU RUAU,,49400,VARRAINS,01.21Z
339363566,3.39E+13,,,,,2,RUE,DE L'EPINAY,CHATEAU DE L'EPINAY,44690,SAINT-FIACRE-SUR-MAINE,01.21Z
339363798,3.39E+13,,,,,,DOM,MOULIN JOLIVIERE BELLE,,44650,LEGE,01.21Z
339513335,3.40E+13,domaine-du-buisson.com,domaine.du.buisson@orange.fr,02 41 72 73 91,,5,RUE,DU BELLAY,,49110,MAUGES-SUR-LOIRE,01.21Z
339557522,3.40E+13,,,,,,,LE BOIS HUAUT,,44190,GORGES,01.21Z
339661696,3.40E+13,,,,,,,CIX,,49260,LE PUY-NOTRE-DAME,01.21Z
340091065,3.40E+13,,,,,,,ABBAYE STE RADEGONDE,,44430,LE LOROUX-BOTTEREAU,01.21Z
340208487,3.40E+13,,,,,,,LA GAGNERIE,,49230,SEVREMOINE,01.21Z
340240928,3.40E+13,,,,,286,,LA COUR DE BLOIS,SAINT CHRISTOPHE LA COUPERIE,49270,OREE-D'ANJOU,01.21Z
340369438,3.40E+13,,,,,,,LE BOIS LAMBERT,,44330,LE PALLET,01.21Z
340404672,3.40E+13,,,,,332,RUE,DE LA SOCIETE,TREZE,49260,MONTREUIL-BELLAY,01.21Z
340414630,3.40E+13,,,,,,,PIERRE BISE,,49750,BEAULIEU-SUR-LAYON,01.21Z
340440122,3.40E+13,,,,,,RTE,DE MONTREUIL,LA PLAINE,49700,DOUE-EN-ANJOU,01.21Z
340440320,3.40E+13,,,,,,RUE,DU COLONEL PANAGET,,49380,TERRANJOU,01.21Z
340469568,3.40E+13,,,,,,RUE,D'ANJOU,,49540,AUBIGNE-SUR-LAYON,01.21Z
340516848,3.41E+13,,,,,13,RUE,DE LA PINSONNIERE,SANZIERS,49260,VAUDELNAY,01.21Z
340536523,3.41E+13,closdesbourguignons.fr,,02 40 33 95 22,,97,ROUTE,DE NANTES,,44330,MOUZILLON,01.21Z
